slug,title,primary_keyword,category_hint,page_type,cluster,priority
pink-lady-chocolates-australia,Pink Lady Chocolates Australia: Buy Pink Lady Foil Chocolates Online,pink lady chocolates australia,Australian Chocolate,landing_page,brand,2
best-candy-australia-2026,Best Candy in Australia 2026: Top Lollies and Sweets,best candy australia 2026,Candy & Lollies,guide_page,australian,1
healthy-candy-alternatives-australia,Healthy Candy Alternatives Australia: Low Sugar and Natural Sweets,healthy candy alternatives australia,Health & Alternatives,landing_page,health,2
candy-australia-guide-2026,Ultimate Guide to Candy in Australia 2026: Lollies Sweets and More,candy australia guide 2026,Candy & Lollies,guide_page,australian,2
faq-bulk-candy-australia,Bulk Candy Australia FAQ: Everything You Need to Know,bulk candy australia faq,Bulk & Wholesale,faq_page,commercial,3
faq-halal-lollies-australia,Halal Lollies Australia FAQ: Common Questions Answered,halal lollies australia faq,Halal & Vegan,faq_page,halal_vegan,3
faq-american-candy-australia,American Candy Australia FAQ: What to Buy and Where,american candy australia faq,American Candy,faq_page,american_candy,3
faq-chocolate-gifts-australia,Chocolate Gifts Australia FAQ: Choosing the Right Gift,chocolate gifts australia faq,Gifting,faq_page,gift,3
allens-vs-cadbury-lollies-australia,"Allen's vs Cadbury Lollies Australia: Which Brand Is Worth It?",allens vs cadbury lollies australia,Candy & Lollies,comparison_page,classic,3
bulk-candy-vs-retail-australia,"Bulk Candy vs Retail in Australia: Price, Variety and Value Compared",bulk candy vs retail australia,Bulk & Wholesale,comparison_page,commercial,3
natural-candy-vs-regular-australia,"Natural Candy vs Regular Candy Australia: Ingredients, Taste and Price",natural candy vs regular australia,Health & Alternatives,comparison_page,health,3
best-halal-lollies-australia,Best Halal Lollies in Australia: Top Picks for Every Occasion,best halal lollies australia,Halal & Vegan,best_of_page,halal_vegan,3
best-bulk-candy-deals-australia,Best Bulk Candy Deals in Australia: Top Wholesale Picks,best bulk candy deals australia,Bulk & Wholesale,best_of_page,commercial,3
best-australian-candy-brands,Best Australian Candy Brands: Classic and Artisan Picks,best australian candy brands,Australian Chocolate,best_of_page,australian,3
best-american-candy-to-try-australia,Best American Candy to Try in Australia: Must-Have US Sweets,best american candy australia,American Candy,best_of_page,american_candy,3
buy-candy-online-sydney,"Buy Candy Online Sydney: Fast Delivery of Lollies & Sweets",buy candy online sydney,Online Delivery,city_landing_page,commercial,3
buy-lollies-online-melbourne,"Buy Lollies Online Melbourne: Sweets Delivered to Your Door",buy lollies online melbourne,Online Delivery,city_landing_page,commercial,3
order-candy-online-brisbane,"Order Candy Online Brisbane: Lollies and Sweets Delivered",order candy online brisbane,Online Delivery,city_landing_page,commercial,3
buy-candy-online-perth,"Buy Candy Online Perth: Australian Lollies Shipped to Perth",buy candy online perth,Online Delivery,city_landing_page,commercial,4
best-lolly-shops-near-me-2026,Finding the Perfect Lolly Shop Near Me: Top Picks for 2026,lolly shop near me,Local Guides,landing_page,general,3
pink-smarties-trend-2026,Explore the World of Pink Smarties: A 2026 Candy Trend,pink smarties,Trends,landing_page,general,3
darrell-lea-chocolate-2026,Darrell Lea Chocolate: Why It's a Must-Try in 2026,darrell lea chocolate,Product Reviews,landing_page,general,3
top-australian-candies-2026,Top 10 Australian Candies You Must Try in 2026,Australian candies,Local Flavours,landing_page,general,3
top-10-chocolate-gift-ideas-christmas-2026,Top 10 Chocolate Gift Ideas for Christmas 2026,chocolate gifts for Christmas,Seasonal Gifts,landing_page,general,3
choose-perfect-chocolate-gift-easter-2026,How to Choose the Perfect Chocolate Gift for Easter 2026,chocolate gifts for Easter,Seasonal Gifts,landing_page,general,3
australian-gourmet-chocolate-gift-boxes-2026,Australian Gourmet Chocolate Gift Boxes: A 2026 Buying Guide,gourmet chocolate gift boxes,Gift Guides,landing_page,general,3
best-chocolate-gifts-health-conscious-australians-2026,The Best Chocolate Gifts for Health-Conscious Australians in 2026,healthy chocolate gifts,Health & Lifestyle,landing_page,general,3
local-vs-imported-chocolate-gift-options-australia-2026,Local vs. Imported: Comparing Chocolate Gift Options in Australia for 2026,local vs imported chocolate gifts,Comparisons,landing_page,general,3
top-chocolate-gift-ideas-2026,Top Chocolate Gift Ideas for Every Occasion in 2026,chocolate gift ideas,Buying Guide,landing_page,general,3
best-chocolate-gift-brands-australia-2026,Comparing the Best Chocolate Gift Brands in Australia 2026,best chocolate gift brands,Brand Comparison,landing_page,general,3
top-lolly-party-ideas-easter-2026,Top Lolly Party Ideas for Easter 2026,lolly party ideas Easter,Event Planning,landing_page,general,3
ultimate-lolly-buffet-birthday-party-2026,How to Create the Ultimate Lolly Buffet for a Birthday Party in 2026,lolly buffet birthday party,Party Planning,landing_page,general,3
eco-friendly-lolly-party-supplies-2026,Eco-Friendly Lolly Party Supplies for 2026: A Comprehensive Guide,eco-friendly lolly party supplies,Sustainability,landing_page,general,3
trending-lolly-flavours-christmas-2026,Trending Lolly Flavours for Christmas Parties 2026,lolly flavours Christmas,Seasonal Trends,landing_page,general,3
diy-lolly-party-decorations-2026,DIY Lolly Party Decorations: Easy Ideas for 2026,DIY lolly party decorations,DIY Projects,landing_page,general,3
healthy-lolly-party-alternatives-2026,Healthy Lolly Party Alternatives for 2026: Enjoy Guilt-Free Treats,healthy lolly party,Health & Wellness,landing_page,general,3
top-snack-box-subscriptions-australia-2026,Top Snack Box Subscriptions in Australia for 2026: A Sweet Guide,snack box subscriptions Australia,Product Reviews,landing_page,general,3
diy-snack-box-ideas-easter-2026,DIY Snack Box Ideas for Easter 2026: Delightful Treats to Share,DIY snack box Easter,DIY & Recipes,landing_page,general,3
healthy-snack-box-choices-australia-2026,Healthy Snack Box Choices in Australia for 2026: Guilt-Free Indulgence,healthy snack box Australia,Health & Wellness,landing_page,general,3
best-australian-international-snack-boxes-2026,Comparing the Best Australian vs. International Snack Boxes of 2026,best snack boxes Australia 2026,Comparisons & Lists,landing_page,general,3
perfect-christmas-snack-box-2026,A Guide to Creating the Perfect Christmas Snack Box in 2026,Christmas snack box,Seasonal & Holiday,landing_page,general,3
best-snack-box-brands-2026-comparison,Best Snack Box Brands in 2026: A Delicious Comparison,snack box brands,Brand Comparison,landing_page,general,3
healthiest-candy-delivery-options-australia,How to Choose the Healthiest Candy Delivery Options in Australia,healthy candy delivery Australia,Health,landing_page,general,3
best-local-candy-brands-delivery-australia-2026,Best Local Candy Brands for Delivery in Australia 2026,local candy delivery Australia,Local Focus,landing_page,general,3
top-10-sweet-treats-kids-parties-2026,Top 10 Sweet Treats for Kids' Parties in 2026,sweet treats for kids parties,Party Ideas,landing_page,general,3
healthy-sweet-treats-kids-2026,Healthy Sweet Treats Kids Will Love in 2026,healthy sweet treats for kids,Health and Wellness,landing_page,general,3
back-to-school-sweet-treats-kids-2026,Top 5 Back-to-School Sweet Treats for Kids in 2026,back to school sweet treats for kids,Educational,landing_page,general,3
best-sweet-treat-brands-for-kids-2026,Best Sweet Treat Brands for Kids in 2026: Taste Test and Review,sweet treat brands for kids,Brand Comparison,landing_page,general,3
healthy-candy-alternatives-2026,Discover Healthy Candy Alternatives for 2026,healthy candy options Australia,Healthy Alternatives,landing_page,general,3
comparing-popular-lollies-australia-2026,Comparing Popular Lollies in Australia: What to Buy in 2026,popular lollies Australia,Comparison,landing_page,general,3
vegan-candy-guide-australia-2026,The Ultimate Guide to Vegan Candy Options in Australia 2026,vegan candy Australia,Dietary Preferences,landing_page,general,3
best-chocolate-rocks-2026,Discover the Best Chocolate Rocks of 2026,chocolate rocks,Product Comparisons,landing_page,general,3
sugar-free-candy-australia-2026,How to Choose Sugar-Free Candy in Australia: 2026 Edition,sugar-free candy Australia,Health & Wellness,landing_page,general,3
gourmet-vs-traditional-candy-2026,Comparing Gourmet vs Traditional Candy in 2026,gourmet candy Australia,Comparison,landing_page,general,3
imported-vs-local-candy-2026,Comparing Imported vs. Local Candy: What Aussies Prefer in 2026,imported vs local candy Australia,Trends & Comparisons,landing_page,general,3
make-australian-candy-at-home-2026,How to Make Traditional Australian Candy at Home in 2026,make Australian candy,DIY & Recipes,landing_page,general,3
best-australian-easter-chocolates-2026,The Best Australian Easter Chocolates to Try in 2026,Australian Easter chocolates,Seasonal,landing_page,general,3
candy-brand-comparison-2026,Comparing Popular Candy Brands for 2026: Which Reigns Supreme?,candy brand comparison,Brand Comparison,landing_page,general,3
create-candy-buffet-australia-2026,How to Create a Candy Buffet for Your 2026 Australian Events,candy buffet Australia,Party Ideas,landing_page,general,3
candy-themed-party-2026,How to Host the Perfect Candy-Themed Party in 2026,candy-themed party,Party Ideas,landing_page,general,3
healthier-gummy-candy-options-australia-2026,Healthier Gummy Candy Options Available in Australia 2026,healthy gummy candy Australia,Health & Wellness,landing_page,general,3
diy-gummy-candy-recipes-2026,DIY Gummy Candy Recipes You Can Try at Home in 2026,DIY gummy candy recipes,DIY & Recipes,landing_page,general,3
ultimate-guide-buying-gummy-candy-2026,The Ultimate Guide to Buying Gummy Candy in 2026,buy gummy candy online,Buying Guide,landing_page,general,3
hard-candy-flavours-summer-australia-2026,Hard Candy Flavours You Need to Try This Summer in Australia,summer candy flavours Australia,Seasonal Trends,landing_page,general,3
top-10-retro-lollies-2026,Top 10 Retro Lollies to Relive Your Childhood in 2026,retro lollies,Nostalgia,landing_page,general,3
sour-lolly-tasting-party-2026,How to Host a Sour Lolly Tasting Party in 2026,sour lolly party ideas,Lifestyle,landing_page,general,3
top-gummy-candy-trends-australia-2026,Top Gummy Candy Trends in Australia for 2026,gummy candy trends Australia,Trends,landing_page,general,3
how-gummy-candy-made-2026,How Gummy Candy is Made: Behind the Scenes in 2026,how gummy candy is made,Educational,landing_page,general,3
top-10-nostalgic-australian-lollies-2026,Top 10 Nostalgic Australian Lollies to Try in 2026,nostalgic Australian lollies,Nostalgia,landing_page,general,3
history-iconic-australian-lollies,The History of Iconic Australian Lollies: A Sweet Journey,history of Australian lollies,History,landing_page,general,3
healthier-candy-gift-box-options-2026,Healthier Candy Gift Box Options for 2026: Sweet and Guilt-Free,healthy candy gift boxes,Healthy Alternatives,landing_page,general,3
best-sour-lolly-brands-2026-comparison,Best Sour Lolly Brands in 2026: A Comprehensive Comparison,sour lolly brands,Brand Comparison,landing_page,general,3
best-retro-lolly-brands-australia-2026,Best Retro Lolly Brands in Australia for 2026,retro lolly brands,brand comparison,landing_page,general,3
australian-christmas-lollies-2026,Best Australian Christmas Lollies for a Nostalgic 2026 Celebration,Australian Christmas lollies,Seasonal Content,landing_page,general,3
nostalgic-lollies-aussie-party-2026,Nostalgic Lollies That Are Perfect for Your 2026 Aussie Themed Party,Aussie themed party lollies,Event Planning,landing_page,general,3
unique-australian-gummy-candy-2026,Exploring the Flavours: Unique Australian Gummy Candy in 2026,unique gummy candy flavours Australia,Gummy Candy Exploration,landing_page,general,3
rediscovering-classic-australian-lollies-2026,Rediscovering Classic Australian Lollies: Top Picks for 2026,classic Australian lollies,History & Culture,landing_page,general,3
iconic-australian-lollies-still-buy-2026,Iconic Australian Lollies You Can Still Buy in 2026,iconic Australian lollies,Shopping Guides,landing_page,general,3
ultimate-guide-buying-candy-by-kilo-australia-2026,The Ultimate 2026 Guide to Buying Candy by the Kilo in Australia,buying candy by the kilo Australia,Buying Guides,landing_page,general,3
perfect-lolly-buffet-wedding-2026,Create the Perfect Lolly Buffet for Your Wedding in 2026,wedding lolly buffet,Event Planning,landing_page,general,3
